suicides/100k pop,HDI for year,suicides_no
6.71,,21
5.19,,16
4.83,,14
4.59,,1
3.28,,9
2.81,,1
2.15,,6
1.56,,4
0.73,,1
0.0,,0
0.0,,0
0.0,,0
5.49,,2
5.33,,17
4.48,,1
4.46,,14
2.85,,4
2.71,,8
2.03,,3
1.91,,5
1.79,,5
1.41,,4
0.0,,0
0.0,,0
8.89,,2
6.35,,18
4.71,,15
4.22,,6
3.71,,12
2.43,,7
1.67,,5
0.75,,2
0.67,,1
0.0,,0
0.0,,0
0.0,,0
3.49,,12
3.41,,9
3.13,,5
2.85,,7
2.39,,7
1.5,,4
0.62,,2
0.61,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
7.4,,18
4.24,,7
4.13,,1
3.91,,9
3.51,,10
2.85,,10
2.67,,7
2.11,,7
1.18,,2
0.29,,1
0.27,,1
0.0,,0
8.13,,2
6.42,,11
5.01,,2
2.59,,6
2.48,,9
2.48,,6
2.12,,6
1.53,,4
0.58,,2
0.57,,1
0.27,,1
0.0,,0
5.58,0.619,13
5.06,0.619,9
4.9,0.619,2
4.59,0.619,13
4.56,0.619,11
3.98,0.619,1
3.72,0.619,14
2.65,0.619,7
2.24,0.619,8
1.59,0.619,6
1.11,0.619,2
0.57,0.619,2
7.87,,2
6.98,,17
5.95,,14
5.56,,16
4.85,,2
3.73,,10
3.16,,12
2.49,,9
1.67,,3
0.55,,1
0.53,,2
0.28,,1
15.25,,36
13.5,,33
11.81,,3
7.88,,30
7.14,,21
6.66,,12
5.84,,16
4.75,,2
1.89,,7
1.66,,6
1.05,,4
0.0,,0
11.63,,3
10.85,,27
10.83,,32
10.82,,26
7.47,,29
4.9,,9
3.63,,10
3.19,,6
2.42,,9
0.51,,2
0.27,,1
0.0,,0
11.58,,3
9.58,,24
9.43,,4
7.93,,31
7.84,,19
7.56,,14
6.4,,19
4.7,,13
3.18,,6
1.34,,5
0.27,,1
0.0,,0
7.33,0.656,17
5.64,0.656,10
5.29,0.656,2
4.02,0.656,1
2.27,0.656,6
2.08,0.656,5
1.51,0.656,5
1.22,0.656,3
1.07,0.656,4
0.27,0.656,1
0.0,0.656,0
0.0,0.656,0
10.65,,22
8.98,,34
5.59,,11
4.23,,2
3.91,,10
3.32,,9
3.24,,12
3.22,,1
3.16,,6
1.87,,6
1.8,,4
0.65,,2
12.9,,4
11.15,,23
9.16,,35
6.56,,13
5.7,,15
5.07,,14
4.0,,15
3.13,,7
2.11,,1
2.09,,4
0.33,,1
0.31,,1
12.22,,6
7.94,,16
7.25,,28
5.49,,15
4.93,,14
4.6,,9
4.38,,9
4.04,,9
3.41,,13
3.06,,1
1.28,,4
0.0,,0
11.26,,4
9.95,,39
7.85,,16
6.84,,20
6.63,,19
5.89,,3
4.95,,11
4.83,,10
4.34,,17
1.47,,3
1.05,,3
0.33,,1
0.0,0.695,0
0.0,0.695,0
0.0,0.695,0
0.0,0.695,0
0.0,0.695,0
0.0,0.695,0
0.0,0.695,0
0.0,0.695,0
0.0,0.695,0
0.0,0.695,0
0.0,0.695,0
0.0,0.695,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
18.88,,8
7.66,,29
6.25,,14
5.23,,3
5.22,,9
4.63,,13
4.51,,13
4.36,,8
4.07,,9
3.57,,14
1.47,,4
0.0,,0
12.15,,21
9.81,,37
9.18,,21
8.42,,5
7.24,,20
4.93,,9
4.82,,19
4.49,,2
3.84,,11
3.09,,7
2.67,,7
0.41,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
8.27,0.722,20
5.38,0.722,20
5.01,0.722,9
3.94,0.722,2
3.58,0.722,10
3.27,0.722,6
3.1,0.722,2
3.04,0.722,12
2.9,0.722,7
2.28,0.722,6
0.89,0.722,2
0.0,0.722,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
17.24,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
15.0,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
30.0,,1
9.97,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
19.45,,2
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
27.82,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
27.29,,1
8.77,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
7.98,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.781,0
0.0,0.783,0
0.0,0.783,0
0.0,0.783,0
0.0,0.783,0
0.0,0.783,0
0.0,0.783,0
0.0,0.783,0
0.0,0.783,0
0.0,0.783,0
0.0,0.783,0
0.0,0.783,0
0.0,0.783,0
15.62,,1
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
0.0,,0
55.65,0.694,202
24.29,0.694,485
12.37,0.694,414
9.11,0.694,210
7.92,0.694,177
7.64,0.694,41
6.46,0.694,156
4.23,0.694,142
2.97,0.694,65
2.93,0.694,69
0.53,0.694,16
0.37,0.694,11
63.01,,230
26.39,,530
14.2,,478
9.3,,209
8.89,,48
8.67,,201
